DD,SS,visual,Aud,win,raw,fisherave
,13,1,0,2,0.35936698,0.376892935
,13,1,0,3,0.278631225,0.291748814
,13,1,2,1,0.759390185,1.092348192
,13,1,2,2,0.62812095,0.754064478
,13,1,2,3,0.640526945,1.154764207
,13,2,1,1,0.601018705,0.812335887
,13,2,1,2,0.79242128,1.124338037
,13,2,1,3,0.67907404,1.034520561
,13,2,0,1,0.707753405,0.945408909
,13,2,0,2,0.67463032,1.096788178
,13,2,0,3,0.939853525,1.882826058
,13,2,2,1,0.683135805,0.962311893
,13,2,2,2,0.78773201,1.395589416
,13,2,2,3,0.96968677,2.087651035
,14,1,1,1,0.52417412,0.589094938
,14,1,1,2,0.277734585,0.286861399
,14,1,1,3,0.413208535,0.46722158
,14,1,0,1,0.358284665,0.390500406
,14,1,0,2,0.39874813,0.458547976
,14,1,0,3,0.32409637,0.349386803
,14,1,2,1,0.14647673,0.147540665
,14,1,2,2,0.15810861,0.159446628
,14,1,2,3,0.152840565,0.154054854
,14,2,1,1,0.51264996,0.572822179
,14,2,1,2,0.321337935,0.333556449
,14,2,1,3,0.39317569,0.427537724
,14,2,0,1,0.25587186,0.263178911
,14,2,0,2,0.45080128,0.5341428
,14,2,0,3,0.44824968,0.538963966
,14,2,2,1,0.164584535,0.166192836
,14,2,2,2,0.19303834,0.195582054
,14,2,2,3,0.29139888,0.300857059
,15,1,1,1,0.60626238,0.71327052
,15,1,1,2,0.667843675,0.931458021
,15,1,1,3,0.48728534,0.570853067
,15,1,0,1,0.772546295,1.073468786
,15,1,0,2,0.62706372,0.789372474
,15,1,0,3,0.51376707,0.58302779
,15,1,2,1,0.510701765,0.572531332
,15,1,2,2,0.806761605,1.188487019
,15,1,2,3,0.435696245,0.499751452
,15,2,1,1,0.67157073,1.211022194
,15,2,1,2,0.69419437,1.425131765
,15,2,1,3,0.872782825,1.349847219
,15,2,0,1,0.927580495,1.656698862
,15,2,0,2,0.747719485,1.214910741
,15,2,0,3,0.893827815,1.443486857
,15,2,2,1,0.679513145,1.181018638
,15,2,2,2,0.70737985,1.284952288
,15,2,2,3,0.65631908,1.032817209
,17,1,1,1,0.577610215,0.670308357
,17,1,1,2,0.48924868,0.5949916
,17,1,1,3,0.557726395,0.656683496
,17,1,0,1,0.363285335,0.384323927
,17,1,0,2,0.50918129,0.752047422
,17,1,0,3,0.23481535,0.241177002
,17,1,2,1,0.46786245,0.507473991
,17,1,2,2,0.391063925,0.413759334
,17,1,2,3,0.253138355,0.259797173
,17,2,1,1,0.6160314,0.730452809
,17,2,1,2,0.80593226,1.140830722
,17,2,1,3,0.676006175,0.874270458
,17,2,0,1,0.51424954,0.57352499
,17,2,0,2,0.47263347,0.540249427
,17,2,0,3,0.588189155,0.860506202
,17,2,2,1,0.495299465,0.679964119
,17,2,2,2,0.571003885,0.929294547
,17,2,2,3,0.5412446,0.879614958
,18,1,1,1,0.60107345,0.769299687
,18,1,1,2,0.52350545,0.687528829
,18,1,1,3,0.777162865,1.069604838
,18,1,0,1,0.401363895,0.429219338
,18,1,0,2,0.56945704,0.805957214
,18,1,0,3,0.515612415,0.579744522
,18,1,2,1,0.62317747,0.730195704
,18,1,2,2,0.544335785,0.610932695
,18,1,2,3,0.3697121,0.3902392
,18,2,1,1,0.680714595,0.946257901
,18,2,1,2,0.69378385,1.160342228
,18,2,1,3,0.64169404,1.025514614
,18,2,0,1,0.59205643,0.718336997
,18,2,0,2,0.9638373,2.007001119
,18,2,0,3,0.972801235,2.153553578
,18,2,2,1,0.778055245,1.086608981
,18,2,2,2,0.79884349,1.444934642
,18,2,2,3,0.97121639,2.116035791
,19,1,1,1,0.559388105,0.68146755
,19,1,1,2,0.50235851,0.629033096
,19,1,1,3,0.68508243,1.011982175
,19,1,0,1,0.55080683,0.761192256
,19,1,0,2,0.51122637,0.688739547
,19,1,0,3,0.369735455,0.403907144
,19,1,2,1,0.593089755,0.735211725
,19,1,2,2,0.80054807,1.105717758
,19,1,2,3,0.68614911,0.942352176
,19,2,1,1,0.35269584,0.369224568
,19,2,1,2,0.308165405,0.320109998
,19,2,1,3,0.432864275,0.46800997
,19,2,0,1,0.548262085,0.790406203
,19,2,0,2,0.37900516,0.422184081
,19,2,0,3,0.374478275,0.40968987
,19,2,2,1,0.321951965,0.345663238
,19,2,2,2,0.22040201,0.226355009
,19,2,2,3,0.24871321,0.254234672
,20,1,1,1,0.523862595,0.952416824
,20,1,1,2,0.4537634,0.575012571
,20,1,1,3,0.496787115,0.567419278
,20,1,0,1,0.537785305,0.603591047
,20,1,0,2,0.5535713,0.665582209
,20,1,0,3,0.481575105,0.539767995
,20,1,2,1,0.273292615,0.28203541
,20,1,2,2,0.300095,0.309625798
,20,1,2,3,0.192043985,0.194915842
,20,2,1,1,0.483003525,0.649442821
,20,2,1,2,0.2529623,0.265035165
,20,2,1,3,0.39238498,0.474548916
,20,2,0,1,0.52314778,0.77844899
,20,2,0,2,0.500124355,0.6042651
,20,2,0,3,0.617636075,0.815838398
,20,2,2,1,0.558553545,0.679550541
,20,2,2,2,0.566607715,0.645733492
,20,2,2,3,0.71264514,1.145984231
,21,1,1,1,0.65231826,0.780705242
,21,1,1,2,0.502627895,0.607501297
,21,1,1,3,0.5545849,0.639469634
,21,1,0,1,0.69254221,0.878348869
,21,1,0,2,0.56893644,0.675364091
,21,1,0,3,0.380135455,0.410615762
,21,1,2,1,0.75879148,1.003054269
,21,1,2,2,0.667793105,0.854114604
,21,1,2,3,0.66870741,0.832456386
,21,2,1,1,0.7193982,0.955298097
,21,2,1,2,0.603289985,0.69877672
,21,2,1,3,0.56632401,0.837299739
,21,2,0,1,0.687449765,0.8476687
,21,2,0,2,0.584035325,0.796327099
,21,2,0,3,0.786411635,1.065027764
,21,2,2,1,0.545507185,0.645433749
,21,2,2,2,0.737692245,1.038514527
,21,2,2,3,0.632970305,1.006494982
,22,1,1,1,0.53432934,0.601153054
,22,1,1,2,0.539185545,0.61042128
,22,1,1,3,0.52391442,0.596942372
,22,1,0,1,0.67306933,1.029883669
,22,1,0,2,0.36042812,0.377696229
,22,1,0,3,0.45592254,0.492162781
,22,1,2,1,0.85814758,1.377643605
,22,1,2,2,0.96581106,2.026309732
,22,1,2,3,0.92003116,1.701507796
,22,2,1,1,0.49975861,0.549296741
,22,2,1,2,0.59503304,0.694064135
,22,2,1,3,0.787496935,1.231801453
,22,2,0,1,0.85462236,1.473146752
,22,2,0,2,0.95049037,1.838405666
,22,2,0,3,0.940002365,1.771682047
,22,2,2,1,0.91874051,1.589080057
,22,2,2,2,0.977738335,2.245544508
,22,2,2,3,0.876792155,1.582122363
,23,1,1,1,0.90016983,1.477434232
,23,1,1,2,0.714980225,0.982953732
,23,1,1,3,0.809533355,1.271061533
,23,1,0,1,0.40841238,0.434615566
,23,1,0,2,0.33274291,0.34617617
,23,1,0,3,0.32269093,0.341716122
,23,1,2,1,0.80514219,1.209544923
,23,1,2,2,0.763398315,1.295827794
,23,1,2,3,0.7305652,0.936874615
,23,2,1,1,0.89484943,1.450005234
,23,2,1,2,0.968082335,2.093358661
,23,2,1,3,0.757591675,1.306133542
,23,2,0,1,0.63832588,0.964675485
,23,2,0,2,0.67676089,1.181620002
,23,2,0,3,0.670918485,1.21426132
,23,2,2,1,0.96844386,2.069324023
,23,2,2,2,0.970019205,2.132071402
,23,2,2,3,0.97055523,2.111864469
,24,1,1,1,0.399913945,0.43685287
,24,1,1,2,0.50022478,0.590681292
,24,1,1,3,0.43162656,0.476853728
,24,1,0,1,0.881661115,1.393418495
,24,1,0,2,0.669742575,0.828690778
,24,1,0,3,0.620930415,0.73705984
,24,1,2,1,0.882263455,1.456029475
,24,1,2,2,0.789495885,1.070702468
,24,1,2,3,0.888503205,1.48372886
,24,2,1,1,0.574721635,0.926453287
,24,2,1,2,0.639947335,0.864628037
,24,2,1,3,0.577124895,0.796868858
,24,2,0,1,0.862572185,1.307900407
,24,2,0,2,0.979304015,2.301812352
,24,2,0,3,0.87614831,1.407238835
,24,2,2,1,0.93602952,1.846359739
